catalog,family,catalog_order,family_order,family_puzzle_order,puzzle_name,level_slug,puzzle_string,wrenches,best_track_count_display,best_track_cells,best_additional_segments,best_total_track_segments,submitted_solution_count,example_solution_string,example_solution_steps,example_solution_id,level_url,example_solution_url,thumbnail_url,catalog_url,status
Regular,Brampton,11,2,5,Journey,journey,hhR5Geav3R4R9R8R2R4Oav4R,1,11+0,11,0,11,1905,01CQo2CQo2CQo4J6J0,12,567898,https://trainyard.ca/solutions/journey,https://trainyard.ca/5f74,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/journey_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,12,3,1,Rainbow,rainbow,hhGeaaOsJGeaoOsCGeahOsvGeaa0005OaaGbaJOaoGbaCOahGbavOaa,1,25+15,25,15,40,1322,7HVMHRSMhSMJ2J2JJ2J2JJ2JCUtKUTt,12,268886,https://trainyard.ca/solutions/rainbow,https://trainyard.ca/3xKy,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/rainbow_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,13,3,2,Innie Outie,innieOutie,hh02Oja5Ojo01Giao5Giaa0,1,11+2,11,2,13,2435,03v5Fo1CQQQo1Cj5h0,12,1750,https://trainyard.ca/solutions/innieOutie,https://trainyard.ca/2zg,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/innieOutie_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,14,3,3,Around the Back,aroundTheBack,hh8Oja3Giao9Ojh3Giaa9Ojo3Giah,2,11+4,11,4,15,2565,9QQz6J4v1m4J1J4nQu,8,145257,https://trainyard.ca/solutions/aroundTheBack,https://trainyard.ca/2QjT,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/aroundTheBack_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,15,3,4,Multicolor,multiColor,hh3Oso07OjC2GpdEb2OBh07Oaa,1,8+0,8,0,8,1391,0J6J4QQ1QQ4J6J0,3,700,https://trainyard.ca/solutions/multiColor,https://trainyard.ca/2ew,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/multiColor_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,16,3,5,Squiggle,squiggle,hh07Oav6GkbF6OsC0,1,8+0,8,0,8,1776,0Cv6J4C1o4J6ho0,5,2490,https://trainyard.ca/solutions/squiggle,https://trainyard.ca/2Nu,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/squiggle_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,17,3,6,Two Two,twoTwo,hh3Geba00001Oba,1,5+0,5,0,5,1563,0J6J6J6J6J0,7,843,https://trainyard.ca/solutions/twoTwo,https://trainyard.ca/2h5,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/twoTwo_thumb.png,https://trainyard.ca/solutions,ok
Regular,Calgary,18,3,7,Crossover,crossover,hh3Oso07Oja5Giaa07Gbao,2,10+2,10,2,12,2526,0hv6J3QQUSQ4J6J0,8,1705283,https://trainyard.ca/solutions/crossover,https://trainyard.ca/2bHMv,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/crossover_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,19,4,1,Mellow Yellow,mellowYellow,hh0Geah005Gcah3OCi,2,6+1,6,1,7,1140,07J6J6J5QnQ,6,2569,https://trainyard.ca/solutions/mellowYellow,https://trainyard.ca/2PT,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/mellowYellow_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,20,4,2,Delivering Oranges,deliveringOranges,hh004Oby6Geav03Gbav,2,6+1,6,1,7,2124,06Cv5J6J6hr0,8,10867,https://trainyard.ca/solutions/deliveringOranges,https://trainyard.ca/5u5,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/deliveringOranges_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,21,4,3,Purple Parcels,purpleParcels,hhOuOJ5GmaJ3R01R1R1R01R3GdaJ5GjaJ,2,15+2,15,2,17,2867,7J5JmQQQQQxJ5JJ5JJ5J,12,96734,https://trainyard.ca/solutions/purpleParcels,https://trainyard.ca/2yRq,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/purpleParcels_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,22,4,4,Prellow,prellow,hh8GcaJ3Giah005ObK0,2,6+1,6,1,7,863,9QzQ5J6J6J0,7,823,https://trainyard.ca/solutions/prellow,https://trainyard.ca/2gH,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/prellow_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,23,4,5,Around the Bend,aroundTheBend,hh002RRRGeavObxGeao5R6R,2,18+1,18,1,19,2226,04CQQQQv1J6hQQQr1J4J1J4hQo,20,1772,https://trainyard.ca/solutions/aroundTheBend,https://trainyard.ca/2zE,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/aroundTheBend_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,24,4,6,Preenies,preenies,hhOrNNNNJ6RRRRRR9RRRRRR3R6R3GddGG5GjeOOJ,2,23+1,23,1,24,1206,1QQQQQv6JCQQQQQoJ6hv6J6jQQQQ,32,52950,https://trainyard.ca/solutions/preenies,https://trainyard.ca/2iTy,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/preenies_thumb.png,https://trainyard.ca/solutions,ok
Regular,Delson,25,4,7,Too Many,tooMany,hh3GelGGqqyy0RRR1RRRRRR1RRR8OEGG1Odqq1Omyy,3,15+2,15,2,17,771,0J6J6J3CQIL3h1J3v2hQQQo,16,943,https://trainyard.ca/solutions/tooMany,https://trainyard.ca/2iR,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/tooMany_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,26,5,1,Yield,yield,hh8Ojh07Giah9Ojh0,3,7+1,7,1,8,692,9v6J6DQQ4J6o0,6,844,https://trainyard.ca/solutions/yield,https://trainyard.ca/2h6,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/yield_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,27,5,2,Blue Boys,blueBoys,hh0Oso05OBo01Gbao0,3,4+1,4,1,5,386,07J6HQ5J0,4,178,https://trainyard.ca/solutions/blueBoys,https://trainyard.ca/5c,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/blueBoys_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,28,5,3,Timing Test,timingTest,hh8Oja3Oja0002Giaa,3,12+3,12,3,15,2159,9v3v2HBQQo2mo5J6J6h,11,1740,https://trainyard.ca/solutions/timingTest,https://trainyard.ca/2z6,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/timingTest_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,29,5,4,Grimace Town,grimaceTown,hh3GeaJ07GcaJ5GiaJ07OcOJ,3,10+2,10,2,12,1586,0hv6J3QQFuQ4J6J0,8,45559,https://trainyard.ca/solutions/grimaceTown,https://trainyard.ca/2gxz,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/grimaceTown_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,30,5,5,Lemon Latency,lemonLatency,hhGeahOsh00005OBh,3,11+3,11,3,14,1264,7hM6hBv5ht6hv6J6h,11,817070,https://trainyard.ca/solutions/lemonLatency,https://trainyard.ca/6Eyy,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/lemonLatency_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,31,5,6,Three Reds,threeReds,hhOsa1Osa3Osa0008Gbaa,3,12+4,12,4,16,2740,7hQnTFQo3Ho5J6J6J0,9,621522,https://trainyard.ca/solutions/threeReds,https://trainyard.ca/5ycC,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/threeReds_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,32,5,7,Colour Theory,colourTheory,hh05Ojo3OBh08GbaC0,3,5+1,5,1,6,395,06QFQ5J6J0,5,1409,https://trainyard.ca/solutions/colourTheory,https://trainyard.ca/2tb,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/colourTheory_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,33,5,8,Secondary,secondary,hhOsa5Osh00001Gbav,3,12+3,12,3,15,1672,7hQQQQFr5hr6J6J6J,12,1623659,https://trainyard.ca/solutions/secondary,https://trainyard.ca/2bfKV,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/secondary_thumb.png,https://trainyard.ca/solutions,ok
Regular,Edmonton,34,5,9,Nurple,nurple,hh8Osa05GpaJ05Oao,3,8+1,8,1,9,2258,05hQQFv5oJ6J0,6,92929,https://trainyard.ca/solutions/nurple,https://trainyard.ca/2xDt,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/nurple_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,35,6,1,Micro Mix,microMix,hh8Ojo007OBhGcaC0,3,9+1,9,1,10,2052,9v6J6J4CQnv3h2o0,7,488,https://trainyard.ca/solutions/microMix,https://trainyard.ca/2aJ,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/microMix_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,36,6,2,The First,theFirst,hh0Oso01GcaJ3GiaJ01Oaa0,3,7+2,7,2,9,1022,06CM5oJC5Ko0,6,579,https://trainyard.ca/solutions/theFirst,https://trainyard.ca/2cm,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/theFirst_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,37,6,3,Wait Outside,waitOutside,hh8Osa1R1R4R1R1RRRR1R6R6R1GcaJ4ROao,3,24+1,24,1,25,548,CQQQFQvJ3J1Jho2J1J4J1J1CQQo1J1J4J1o,18,152258,https://trainyard.ca/solutions/waitOutside,https://trainyard.ca/2SyU,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/waitOutside_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,38,6,4,Nine Men's Morris,nineMensMorris,hhOsh5Gmav9RRR4RRR4RRR9Gdav5Oaa,3,15+2,15,2,17,2115,7J5JJ5JJ5JJ5JlQQQQQx,16,489,https://trainyard.ca/solutions/nineMensMorris,https://trainyard.ca/2aK,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/nineMensMorris_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,39,6,5,Eee Tee,eeeTee,hh009Oaa3Oah9OBa1GbbA1Ojo,3,15+3,15,3,18,2831,001Cv3CvJ5JlQQzQQrh5o,8,1737,https://trainyard.ca/solutions/eeeTee,https://trainyard.ca/2z3,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/eeeTee_thumb.png,https://trainyard.ca/solutions,ok
Regular,Fredericton,40,6,6,Relish,relish,hhROjh5OsCGeaC000RR5ROjo,4,16+6,16,6,22,2511,2v6J4hAlTv3huuuQv6J6J6o,11,271762,https://trainyard.ca/solutions/relish,https://trainyard.ca/3yEU,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/relish_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,41,7,1,Mirror Squad,mirrorSquad,hhOja8R3GiaJOjo1R4RRRRRRR4R1OBoGcaC3R8OBh,3,20+6,20,6,26,1654,1IQBIv2J1hoh2o03Cv2C2Snv1J4hQu,9,1767409,https://trainyard.ca/solutions/mirrorSquad,https://trainyard.ca/2c5AT,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/mirrorSquad_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,42,7,2,Cute Loop,cuteLoop,hhOja5OBoR1RRRRR4R1GiaJ4R6R6R,3,20+3,20,3,23,2423,1FQQQQ2J6hUv1C3ht1J4J1J4J1J4hQo,20,1738,https://trainyard.ca/solutions/cuteLoop,https://trainyard.ca/2z4,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/cuteLoop_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,43,7,3,Hourglass,hourglass,hhOja5OBh0GbaJ6R6Geav0Oja5OBo,4,18+6,18,6,24,2474,1QQFQT4lTo5J6J6J5Do3QQjQQ,23,272130,https://trainyard.ca/solutions/hourglass,https://trainyard.ca/3yMu,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/hourglass_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,44,7,4,Gauss,gauss,hh04Oja5OBJR5ROjo5GiaJ0,4,10+4,10,4,14,1185,05v3C2DQQIA2o2hp0,8,373131,https://trainyard.ca/solutions/gauss,https://trainyard.ca/48Z5,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/gauss_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,45,7,5,Third Wheel,thirdWheel,hh3Osv07Oah5Oaa07Gbav,4,14+4,14,4,18,4291,0J3CQvNQQv2hM6mv5Ho,8,495,https://trainyard.ca/solutions/thirdWheel,https://trainyard.ca/2aR,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/thirdWheel_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,46,7,6,Turtles,turtles,hh02R6R6R1OjC3OBCR6R1OjC3OBCRGbaC,4,20+4,20,4,24,3394,4CQv4J1J4J1J3Co1J1vCs2J1Dpr2J1o1h,18,1326,https://trainyard.ca/solutions/turtles,https://trainyard.ca/2rG,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/turtles_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,47,7,7,Royals,royals,hhOsJ007RRRRRR8GbaJROjJ,4,20+3,20,3,23,3356,7J6J4CvhQQQQpM6JCQQIQQo3o,20,497,https://trainyard.ca/solutions/royals,https://trainyard.ca/2aT,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/royals_thumb.png,https://trainyard.ca/solutions,ok
Regular,Guelph,48,7,8,Spiced,spiced,hhOka5OCi07Gpby07Oki5OCa,4,17+3,17,3,20,3051,1QQFQQ4J6hv6r5Co5J4QQjQQ,9,498,https://trainyard.ca/solutions/spiced,https://trainyard.ca/2aU,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/spiced_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,49,8,1,Handlebars,handlebars,hhGcaC5GiaCOso5Osh001Oah5OaoGcaC5GiaC,4,18+4,18,4,22,1805,1v3C2J3J1hA3hM1J4JCt3CL1J3J2o3h,7,206132,https://trainyard.ca/solutions/handlebars,https://trainyard.ca/3bJW,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/handlebars_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,50,8,2,Compact,compact,hh06GjavOaaR4OBoROja4ROshGgaJ0,4,18+7,18,7,25,4377,9CIQv6Kv1C3AJ1J3VM1hQnQno,13,1108339,https://trainyard.ca/solutions/compact,https://trainyard.ca/8jrM,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/compact_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,51,8,3,Wailing,wailing,hh3R4Ojo1R1Giaa4R4Oja3Giah4R4Ojh1R1Giao4R,5,21+4,21,4,25,1949,9v1C2CQo1hQvJ1IQB1JhQL1mQo2o1h,14,273902,https://trainyard.ca/solutions/wailing,https://trainyard.ca/3zm8,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/wailing_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,52,8,4,Laser Master,laserMaster,hh3GedOO00001Odcc,7,8+4,8,4,12,8750,0J5Ct5Dx5hA6J0,11,811,https://trainyard.ca/solutions/laserMaster,https://trainyard.ca/2gv,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/laserMaster_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,53,8,5,Squads,squads,hh1Oja5Oso06GedOy06Oaa5OBh,6,15+7,15,7,22,7320,2v6J4hFr5hA6hSTBv4Do5h,27,2549908,https://trainyard.ca/solutions/squads,https://trainyard.ca/2gx86,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/squads_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,54,8,6,Aspire,aspire,hh009GiaCOtoOtb4Giaa6R,7,14+4,14,4,18,7571,001CQQQv2m3J2h1HtJ4hno,15,352,https://trainyard.ca/solutions/aspire,https://trainyard.ca/8i,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/aspire_thumb.png,https://trainyard.ca/solutions,ok
Regular,Halifax,55,8,7,Under The Fence,underTheFence,hhOja2R2OBaOjo2R2OBo3R6R6R0Gbaa5Gbao,5,21+7,21,7,28,3901,1v3C2A3N2J3J2J3J2J3J1CRTFQsv2hjQo,14,1249799,https://trainyard.ca/solutions/underTheFence,https://trainyard.ca/98xR,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/underTheFence_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,56,9,1,Inverse,inverse,hh7Obi5OboR5RR2Gpav2RR5RGeaC5GeaC,7,22+6,22,6,28,2689,CQBFBQv2hVo4Ct5J6J6J4hQjQQQo,18,983614,https://trainyard.ca/solutions/inverse,https://trainyard.ca/7BEy,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/inverse_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,57,9,2,Totem Pole,totemPole,hh3Geby00OBh6OBa6Oja6Ojh,5,11+3,11,3,14,3748,0hv4CQt4K1J4h1J6L6o,8,353,https://trainyard.ca/solutions/totemPole,https://trainyard.ca/8j,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/totemPole_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,58,9,3,Western,western,hhOjh2R4Ojo1R1Giaa4R4Oja3Gibj4R4Ojh1R1Giao1Ojo2R2Gbah,6,26+7,26,7,33,598,1Qv6A1C2CQo1hQvJ1IQB1JhQL1mQr2L1h1J1Qo,18,96508,https://trainyard.ca/solutions/western,https://trainyard.ca/2yMn,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/western_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,59,9,4,Collider,collider,hh04Ojh5OBoOjh2GpfGGG2OBoOjh5OBo0,6,13+6,13,6,19,7971,8CvCv3thVjB2L3m2o3h0,12,273106,https://trainyard.ca/solutions/collider,https://trainyard.ca/3z6U,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/collider_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,60,9,5,Starship Sandwich,starshipSandwich,hhGcbO6Oja6Oja6RRRRRR1Ojo6Ojo6GcbO,6,23+10,23,10,33,5725,1Bv5ADQQBv1no2hM6J1IIQQQo1tJ5So,19,1131206,https://trainyard.ca/solutions/starshipSandwich,https://trainyard.ca/8sJ8,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/starshipSandwich_thumb.png,https://trainyard.ca/solutions,ok
Regular,Iqaluit,61,9,6,The Classic,theClassic,hh3GeaCGeav0Oja03Oki02GbaCOjo,7,12+7,12,7,19,3484,0Ho4zt5Dr5Eo3CQL6o,10,375511,https://trainyard.ca/solutions/theClassic,https://trainyard.ca/49Kz,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/theClassic_thumb.png,https://trainyard.ca/solutions,ok
Regular,Joliette,62,10,1,Red Pear,redPear,hhPaj00OjC5Giaa00,2,9+2,9,2,11,595,1v5hA6J6pQQQQ00,14,3045,https://trainyard.ca/solutions/redPear,https://trainyard.ca/2Yp,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/redPear_thumb.png,https://trainyard.ca/solutions,ok
Regular,Joliette,63,10,2,Paint The Town,paintTheTown,hhOsh5Oso07Pao00Gbav,4,13+1,13,1,14,634,7hQv1CQo2JCo4J6hA6J0,9,359801,https://trainyard.ca/solutions/paintTheTown,https://trainyard.ca/44K3,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/paintTheTown_thumb.png,https://trainyard.ca/solutions,ok
Regular,Joliette,64,10,3,Lopsided,lopsided,hh3GiavGcav02RR5RR5RR5PbxPap5OavOav,5,14+2,14,2,16,230,2C2v3DQQx3J2J3J2J3J2J3h2o,11,206,https://trainyard.ca/solutions/lopsided,https://trainyard.ca/5G,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/lopsided_thumb.png,https://trainyard.ca/solutions,ok
Regular,Joliette,65,10,4,Plus,plus,hhPaj06R3Oah1RROjo5R0GdaJ,6,15+4,15,4,19,846,1v5HEQQQv1KM3J2J3o2J5Co0,13,1221628,https://trainyard.ca/solutions/plus,https://trainyard.ca/8XyN,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/plus_thumb.png,https://trainyard.ca/solutions,ok
Regular,Joliette,66,10,5,Orange Wall,orangeWall,hh6Giav3Pdo6Gbav3Obq2Pdw2Otq3Geav6Pdo3Gcav,7,19+5,19,5,24,1851,3CzQ5J2Cv2J3hQ1Pv5Duo4J3QQno,16,805,https://trainyard.ca/solutions/orangeWall,https://trainyard.ca/2gp,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/orangeWall_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,67,11,1,Podded Peas,poddedPeas,hh3GebG004OsJ5OsJ7Pbh5Pcv,4,14+2,14,2,16,1557,0J6J6J6J3J1CVv1J1QnohQ,15,712885,https://trainyard.ca/solutions/poddedPeas,https://trainyard.ca/65k7,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/poddedPeas_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,68,11,2,Let Them Yellow,letThemYellow,hhGeah5Geah04RRRPboRRR04Gbah2OdOO2Gbah,7,18+5,18,5,23,3089,7hQzzQQo2hM03mQv1CQQt1hv,16,943453,https://trainyard.ca/solutions/letThemYellow,https://trainyard.ca/7nRp,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/letThemYellow_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,69,11,3,The Original,theOriginal,hh07ObqOah5GebOGeaC002OBa,7,13+5,13,5,18,4161,9CTv4J6J6NtJ4hSSv6h,11,338,https://trainyard.ca/solutions/theOriginal,https://trainyard.ca/84,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/theOriginal_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,70,11,4,Stuck To You,stuckToYou,hh04OjJ5RR2Pco2GiaCOjJ2Pbo2R0,7,12+3,12,3,15,1546,05QQzv6DQ2Qv1J4hpo,11,508,https://trainyard.ca/solutions/stuckToYou,https://trainyard.ca/2b6,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/stuckToYou_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,71,11,5,Diagonal Mirror,diagonalMirror,hh01OaoGdah5ROjo4R5R5Pbr0,7,17+5,17,5,22,2900,4CQv6M6M6J6JC4CAhRQQQno,29,107653,https://trainyard.ca/solutions/diagonalMirror,https://trainyard.ca/2Ckp,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/diagonalMirror_thumb.png,https://trainyard.ca/solutions,ok
Regular,Kamloops,72,11,6,Four Shadowing,fourShadowing,hhOvaa06Pbo5Pcw1Pdw5Peo06Gbdpz,8,17+8,17,8,25,8564,7NzQv3lx5Nn1r3J6hQQnQQv,31,2541978,https://trainyard.ca/solutions/fourShadowing,https://trainyard.ca/2guAu,https://s3.amazonaws.com/TrainyardSiteMisc/images/puzzles/fourShadowing_thumb.png,https://trainyard.ca/solutions,ok
